name,total_tokens,total_sequences,min_tokens,max_tokens,mean_tokens,Q1_tokens,Q2_tokens,Q3_tokens,dataset,subset,language
fineweb2_edu1_it,14084670456,28735426,74,178782,490.15004879343013,165.0,264.0,509.0,fineweb2,edu1,it
fineweb2_edu2_it,47077994844,68820723,75,262586,684.0671354760397,247.0,423.0,734.0,fineweb2,edu2,it
fineweb2_edu3_it,48269081063,54269661,76,185918,889.4303036645097,349.0,568.0,945.0,fineweb2,edu3,it
fineweb2_edu4_it,1552340915,1490674,79,154629,1041.3684782856615,467.0,721.0,1158.0,fineweb2,edu4,it
gutenberg_it,122508810,985,9,756491,124374.42639593908,50180.0,95088.0,166776.0,gutenberg,,it
vikidia_it,2849748,9945,6,17301,286.5508295625943,54.0,90.0,287.0,vikidia,,it
wikimedia_it,2676250766,2750522,6,349403,972.9974041291072,79.0,284.0,849.0,wikimedia,,it
algebraic-stack_math,9598081813,3337761,2,12484401,2875.6048779406315,492.0,1194.0,2707.0,algebraic-stack,,math
finemath-filtered_3plus_math,28220605662,15185319,15,1048225,1858.4137522563733,505.0,864.0,1630.0,finemath-filtered,3plus,math
infiwebmath-filtered_3plus_math,16212270174,10466556,26,647178,1548.9593877871575,472.0,854.0,1663.0,infiwebmath-filtered,3plus,math
math-pile_math,9605928727,729213,5,5925909,13173.00806074494,781.0,5394.0,18547.0,math-pile,,math
megamath-web-filtered_part1_math,66514208204,28890978,5,1240791,2302.248411389881,365.0,775.0,1780.0,megamath-web-filtered,part1,math
megamath-web-filtered_part2_math,98092063924,42677761,5,1240838,2298.4351012228594,365.0,773.0,1772.0,megamath-web-filtered,part2,math
common-corpus_eurlex_multi,14752419752,1803972,75,104809,8177.743197787992,1020.0,7468.0,11338.0,common-corpus,eurlex,multi
common-corpus_europeana_multi,11555275341,978822,78,27655,11805.287724427935,8817.0,12610.0,15301.0,common-corpus,europeana,multi
common-corpus_gatt-library_multi,169255697,55289,101,28318,3061.290618387021,439.0,1139.0,4174.0,common-corpus,gatt-library,multi
common-corpus_marianne-europe_multi,3949306974,699666,59,56298,5644.56036737529,1093.0,4387.0,10379.0,common-corpus,marianne-europe,multi
common-corpus_multilingual-pd_multi,4643637296,425245,93,24531,10919.910395183953,10168.0,11058.0,12043.0,common-corpus,multilingual-pd,multi
common-corpus_oecd_multi,499588798,68581,70,32096,7284.653154663828,2902.0,9266.0,10759.0,common-corpus,oecd,multi
common-corpus_tedeutenders_multi,128106946,51785,72,23834,2473.8234237713623,363.0,646.0,1481.0,common-corpus,tedeutenders,multi
common-corpus_un-digital-library_multi,900275381,129751,68,51891,6938.4851060878145,1028.0,4247.0,10895.5,common-corpus,un-digital-library,multi
common-corpus_wto_multi,2364538150,644356,67,52437,3669.6145453755375,680.0,1158.0,5889.0,common-corpus,wto,multi
common-corpus_dutch-pd_nl,2268871073,204758,88,24266,11080.74445442913,10259.0,11809.0,12971.0,common-corpus,dutch-pd,nl
culturax_edu1_nl,7182617147,18074783,20,52883,397.38331281764215,113.0,232.0,472.0,culturax,edu1,nl
culturax_edu2_nl,24884203094,36436569,20,56687,682.9458364754377,226.0,426.0,768.0,culturax,edu2,nl
culturax_edu3_nl,21162149595,23903235,21,80748,885.3257559070979,324.0,541.0,946.0,culturax,edu3,nl
culturax_edu4_nl,876183969,932279,25,51153,939.8302106987286,395.0,635.0,1060.0,culturax,edu4,nl
eurovoc_filtered_nl,1102792955,240364,78,20988891,4588.012160722904,657.0,1085.0,2769.0,eurovoc,filtered,nl
fineweb2_edu1_nl,10346195266,24149879,74,145325,428.41602916519787,152.0,252.0,497.0,fineweb2,edu1,nl
fineweb2_edu2_nl,26450281865,41893633,74,168563,631.3675843057106,217.0,383.0,690.0,fineweb2,edu2,nl
fineweb2_edu3_nl,23525426571,28122361,75,187541,836.5381047131854,292.0,504.0,876.0,fineweb2,edu3,nl
fineweb2_edu4_nl,1195240921,1277844,77,150611,935.3574622567387,388.0,632.0,1044.0,fineweb2,edu4,nl
gutenberg_nl,100067106,993,6,1163891,100772.51359516617,30914.0,65493.0,123632.0,gutenberg,,nl
wikimedia_nl,1414429674,3157316,10,540624,447.9848307866555,61.0,117.0,369.0,wikimedia,,nl
fineweb2_oc,40062356,44951,86,116557,891.2450446041245,238.0,461.0,821.5,fineweb2,,oc
vikidia_oc,70521,136,12,3085,518.5367647058823,264.25,379.0,632.5,vikidia,,oc
wikimedia_oc,81148386,160147,10,73626,506.71187096854766,77.0,206.0,673.0,wikimedia,,oc
fineweb2_pcd,691998,879,98,58706,787.2559726962457,238.5,433.0,737.0,fineweb2,,pcd
wikimedia_pcd,3586549,6039,8,17534,593.8978307666832,188.0,385.0,743.5,wikimedia,,pcd
common-corpus_portuguese-pd_pt,40074641,4177,118,19873,9594.120421355039,6880.0,9761.0,11790.0,common-corpus,portuguese-pd,pt
culturax_edu1_pt,7031490437,17510185,21,61939,401.5657422808497,116.0,245.0,455.0,culturax,edu1,pt
culturax_edu2_pt,32601101636,48158554,20,63360,676.9534989775648,238.0,429.0,761.0,culturax,edu2,pt
culturax_edu3_pt,40382966314,46914100,20,64226,860.7852716773848,339.0,544.0,910.0,culturax,edu3,pt
culturax_edu4_pt,1940941333,2073155,25,50851,936.2258649256809,410.0,652.0,1063.0,culturax,edu4,pt
europarl_pt,70167012,10281,5,158096,6824.920922089291,14.0,24.0,2145.0,europarl,,pt
eurovoc_filtered_pt,1096415347,239546,78,20752765,4577.055542568024,661.0,1116.0,2819.75,eurovoc,filtered,pt
fineweb2_edu1_pt,8937935021,20260515,74,190113,441.1504357613812,158.0,253.0,457.0,fineweb2,edu1,pt
fineweb2_edu2_pt,30213489126,47135155,73,281148,640.9969188814591,230.0,391.0,692.0,fineweb2,edu2,pt
fineweb2_edu3_pt,40761406932,47260126,73,256287,862.4904413500717,318.0,524.0,885.0,fineweb2,edu3,pt
fineweb2_edu4_pt,2365598955,2468352,77,170637,958.3718023199284,427.0,687.0,1100.0,fineweb2,edu4,pt
gutenberg_pt,37851677,623,13,4787873,60757.10593900482,12753.0,32870.0,80784.0,gutenberg,,pt
vikidia_pt,589549,4227,8,51689,139.47220250768868,18.0,42.0,95.0,vikidia,,pt
wikimedia_pt,1246201507,1760663,8,663010,707.8024056846767,60.0,179.0,601.0,wikimedia,,pt
fineweb2_rcf,3006715,4662,106,14384,644.9410124410124,395.0,608.0,755.75,fineweb2,,rcf
fineweb2_tah,9516522,4464,101,61699,2131.837365591398,553.0,1228.5,2584.0,fineweb2,,tah
fineweb2_wln,11188016,14888,105,181714,751.47877485223,177.0,257.0,458.0,fineweb2,,wln
