tokenizer,vocabulary size (tokens),language,dataset,fertility,average token length,processing time,# characters,# words,# tokens
Qwen2,151665,Code,c++,3.359,3.304,445.196385383606,554859434,49992022,167931227
Qwen2,151665,Code,javascript,5.379,3.009,672.2325916290283,809294040,49999987,268955798
Qwen2,151665,Code,python,3.137,3.767,423.31632804870605,590864751,49999990,156851818
Qwen2,151665,Code,tex,3.559,2.725,414.22881531715393,484856401,49995100,177922518
Qwen2,151665,English,Europarl.en,1.184,5.086,218.92383527755737,339370705,56334280,66720562
Qwen2,151665,English,Wikipedia.en,1.648,3.341,2162.693876028061,2753108852,499999890,824093003
Qwen2,151665,French,Europarl.fr,1.658,3.865,240.6689534187317,338630065,52845204,87614587
Qwen2,151665,French,Wikipedia.fr,1.956,2.887,2306.181022882461,2823112420,499999927,978005368
Qwen2,151665,German,Europarl.de,1.937,3.741,229.47001123428345,326931605,45108933,87397548
Qwen2,151665,German,Wikipedia.de,2.223,2.95,2527.287918806076,3278956474,499999919,1111470770
Qwen2,151665,Italian,Wikipedia.it,2.004,2.846,2282.395319223404,2851639813,499999419,1002041514
Qwen2,151665,Spanish,Europarl.es,1.556,3.982,222.573098897934,324518110,52369273,81504956
Qwen2,151665,Spanish,Wikipedia.es,1.819,3.203,2209.6733751297,2912972152,499999897,909337212
Gemma,256000,Arabic,Wikipedia.ar,2.27,2.664,976.7742352485656,1655638539,273803280,621516130
Gemma,256000,Basque,eus,2.544,3.063,1798.6463675498962,3896094623,499999531,1272018889
Gemma,256000,Code,c++,3.892,2.852,294.36571073532104,554859434,49992022,194553188
Gemma,256000,Code,javascript,6.149,2.632,465.3707675933838,809294040,49999987,307459955
Gemma,256000,Code,python,3.74,3.16,314.2725100517273,590864751,49999990,186982280
Gemma,256000,Code,tex,3.537,2.742,259.5569894313812,484856401,49995100,176816165
Gemma,256000,English,Europarl.en,1.175,5.126,226.7859287261963,339370705,56334280,66199515
Gemma,256000,English,Wikipedia.en,1.622,3.395,1547.838186264038,2753108852,499999890,810958739
Gemma,256000,French,Europarl.fr,1.41,4.546,232.0304775238037,338630065,52845204,74492491
Gemma,256000,French,Wikipedia.fr,1.781,3.17,1506.242298603058,2823112420,499999927,890493609
Gemma,256000,German,Europarl.de,1.49,4.865,226.4965229034424,326931605,45108933,67207400
Gemma,256000,German,Wikipedia.de,1.907,3.439,1724.938457250595,3278956474,499999919,953479937
Gemma,256000,Italian,Wikipedia.it,1.787,3.191,1511.998164653778,2851639813,499999419,893549801
Gemma,256000,Spanish,Europarl.es,1.27,4.878,220.73746848106384,324518110,52369273,66524630
Gemma,256000,Spanish,Wikipedia.es,1.583,3.679,1550.9699404239657,2912972152,499999897,791734685
